"mirname" "p.value"
"hsa-miR-20b" "0,117822052"
"HS_163" "0,119459607"
"hsa-miR-181b" "0,120824236"
"hsa-miR-27b*" "0,121588428"
"hsa-miR-561" "0,122134279"
"hsa-miR-568" "0,12246179"
"hsa-miR-885-3p" "0,122570961"
"hsa-miR-1307" "0,122953057"
"HS_134" "0,123662664"
"hsa-miR-508-5p" "0,124918122"
"HS_61" "0,125300218"
"HS_12" "0,126610262"
"hsa-let-7b*" "0,126992358"
"hsa-miR-23b*" "0,12753821"
"hsa-miR-552" "0,127592795"
"hsa-miR-525-3p" "0,128193231"
"HS_25" "0,128957424"
"solexa-3022-299" "0,130049127"
"hsa-miR-1183" "0,130376638"
"hsa-miR-620" "0,131086245"
"hsa-miR-200c*" "0,132450873"
"HS_133.1" "0,132505459"
"hsa-miR-596" "0,13305131"
"hsa-miR-657" "0,133542576"
"HS_303_b" "0,133870087"
"HS_244" "0,135343886"
"solexa-8000-104" "0,136599345"
"hsa-miR-513a-3p" "0,138400655"
"HS_93" "0,13845524"
"HS_85.1" "0,141512009"
"hsa-miR-554" "0,142985808"
"HS_208" "0,144459607"
"hsa-miR-937" "0,144514192"
"hsa-miR-376a" "0,145169214"
"hsa-miR-1236" "0,14555131"
"HS_195" "0,145878821"
"HS_106" "0,146424672"
"hsa-miR-541" "0,146533843"
"hsa-miR-548b-3p" "0,148225983"
"hsa-miR-301a" "0,148280568"
"HS_111" "0,14915393"
"hsa-miR-151-3p" "0,1492631"
"hsa-miR-200b*" "0,149536026"
"hsa-miR-577" "0,149590611"
"hsa-miR-574-5p" "0,149808952"
"hsa-miR-223*" "0,150300218"
"hsa-miR-493*" "0,15084607"
"HS_126" "0,154885371"
"hsa-miR-216b" "0,155813319"
"hsa-miR-1276" "0,15614083"
"hsa-miR-626" "0,156632096"
"hsa-miR-886-3p" "0,157232533"
"hsa-miR-34c-3p" "0,157723799"
"HS_58" "0,158378821"
"HS_136" "0,15985262"
"HS_76" "0,159907205"
"hsa-miR-374a" "0,165638646"
"HS_64" "0,166566594"
"hsa-miR-485-5p" "0,166784934"
"hsa-miR-23a*" "0,166894105"
"hsa-miR-767-5p" "0,167167031"
"hsa-miR-1293" "0,169022926"
"hsa-miR-598" "0,169732533"
"hsa-miR-141*" "0,170223799"
"solexa-2952-306" "0,17044214"
"HS_90" "0,170496725"
"solexa-3277-272" "0,170824236"
"hsa-miR-487a" "0,171697598"
"hsa-miR-34a" "0,172298035"
"hsa-miR-222*" "0,176664847"
"HS_8" "0,178902838"
"hsa-miR-935" "0,180704148"
"HS_7" "0,182614629"
"hsa-miR-593" "0,184033843"
"hsa-miR-1238" "0,185453057"
"hsa-miR-132*" "0,187199782"
"hsa-miR-563" "0,187418122"
"HS_167.1" "0,19025655"
"hsa-miR-19b-2*" "0,191348253"
"hsa-miR-1257" "0,19194869"
"hsa-miR-765" "0,193422489"
"hsa-miR-147b" "0,193586245"
"hsa-miR-1182" "0,194841703"
"hsa-miR-1278" "0,194950873"
"hsa-miR-105*" "0,195278384"
"HS_86" "0,195387555"
"hsa-let-7c*" "0,19555131"
"hsa-miR-593*" "0,195933406"
"hsa-miR-542-5p" "0,196643013"
"hsa-miR-521" "0,199536026"
"hsa-miR-376c" "0,202319869"
"hsa-miR-34b*" "0,202701965"
"hsa-miR-30e" "0,202811135"
"hsa-miR-548e" "0,203848253"
"hsa-miR-1181" "0,204503275"
"hsa-miR-323-3p" "0,207396288"
"hsa-miR-363*" "0,207614629"
"hsa-miR-493" "0,209033843"
"hsa-miR-7-2*" "0,210343886"
"HS_305_b" "0,211271834"
"HS_205.1" "0,211981441"
"hsa-miR-125a-3p" "0,212527293"
"HS_47" "0,21345524"
"HS_206" "0,213782751"
"hsa-miR-92a-2*" "0,214546943"
"hsa-miR-658" "0,215365721"
"hsa-miR-200a*" "0,216020742"
"hsa-miR-1228" "0,21683952"
"HS_44.1" "0,216894105"
"HS_49" "0,217003275"
"HS_51" "0,217439956"
